2
Frequency=2080(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-14.4299956111718	-14.5263908643011	-31.0153907211639	-0.317624956855404	0.21932049446284
0	-3.089232776	-14.705179511237	-14.7429744476749	-35.3275701947189	-0.388768892354882	0.345962162349279
0	-3.0368728985	-14.869656824038	-14.8762027563788	-43.0910573711184	-0.436074549707794	0.83942417951933
0	-2.9845130209	-14.9359110787161	-14.9438069445587	-42.3437039195384	-0.454652349376015	2.52837737053723
0	-2.9321531434	-14.9261472646457	-14.9630416959114	-35.6528163337554	-0.442310300706313	2.93367492099746
0	-2.8797932658	-14.8440672103702	-14.9259135676884	-32.1327756797866	-0.39847105848297	3.04819888284127
0	-2.8274333882	-14.6874797933547	-14.8161064285917	-30.036168402355	-0.325424128065892	3.10474883200798
0	-2.7750735107	-14.4574106706603	-14.6227946193277	-28.7327497763751	-0.228340524597615	3.14090831371302
0	-2.7227136331	-14.1297283242352	-14.3138926342233	-27.9472734969639	-0.11378463185976	-3.11599884280518
0	-2.6703537556	-13.7123351710117	-13.8968432112119	-27.5219527357768	0.00995509460100344	-3.09626437106974
0	-2.617993878	-13.2226283082026	-13.3932073580168	-27.3662248789418	0.13557823221833	-3.08273673063704
0	-2.5656340004	-12.6875093208444	-12.8364356485269	-27.4098880062793	0.257609301754935	-3.07679637782458
0	-2.5132741229	-12.1492075298637	-12.2744929193475	-27.6105384710141	0.373448550493872	-3.08100760160048
0	-2.4609142453	-11.6431845012764	-11.7465951614833	-27.9269772396535	0.48249698473558	-3.09876172092107
0	-2.4085543678	-11.1981476709029	-11.283054323351	-28.3289577590077	0.586579261686467	-3.13376865461981
0	-2.3561944902	-10.8373096813048	-10.9076215986409	-28.7799719133202	0.687186839749853	3.09376121352094
0	-2.3038346126	-10.5648891288019	-10.6242494134003	-29.2374188332733	0.786839777007131	3.01537666803901
0	-2.2514747351	-10.3860985087855	-10.4380140055764	-29.6369033697128	0.887640873010691	2.91501885105268
0	-2.1991148575	-10.2975247557859	-10.3452806651079	-29.9089527539401	0.991372503387635	2.79816876371035
0	-2.14675498	-10.2950993017147	-10.341832410888	-30.0000412581718	1.09964665200716	2.67483375495352
0	-2.0943951024	-10.3656293625097	-10.4143076576788	-29.8944352912812	1.21295733327339	2.55904879488608
0	-2.0420352248	-10.5021326020623	-10.5556624598188	-29.620752259141	1.33180277641774	2.46321140974605
0	-1.9896753473	-10.7019312986993	-10.7632339237659	-29.2355989492256	1.45539203434542	2.3942908034893
0	-1.9373154697	-10.9560076674854	-11.0282684965998	-28.7809016951486	1.58346207880036	2.35541718758947
0	-1.8849555922	-11.2748973035485	-11.3622243905782	-28.2848410591215	1.71553408963922	2.34334644535541
0	-1.8325957146	-11.6560900358574	-11.7640117096863	-27.7566955181992	1.85156532682999	2.35343111207952
0	-1.780235837	-12.1121721657177	-12.2489006235271	-27.1996109972445	1.99258550346236	2.37854980617857
0	-1.7278759595	-12.6398280638448	-12.8172257459025	-26.6165886873663	2.1398737453026	2.4116593882058
0	-1.6755160819	-13.2383236965436	-13.473003529311	-26.0282206464247	2.29712529837724	2.4466237087143
0	-1.6231562044	-13.8967352239127	-14.2112056214991	-25.4550671030187	2.46717250692826	2.47893880964783
0	-1.5707963268	-14.5848141051156	-15.006625772027	-24.920670276468	2.65418434921236	2.50665551389865
0	-1.5184364492	-15.2648954217322	-15.82413037255	-24.4434128692978	2.86310614537417	2.52948662585592
0	-1.4660765717	-15.8778560299227	-16.5983070144652	-24.0349015685201	3.09813559229494	2.54877942425141
0	-1.4137166941	-16.3644566477541	-17.2518173777299	-23.6974262156447	-2.9212558305512	2.56641094894221
0	-1.3613568166	-16.6370454859334	-17.6578940223258	-23.4257060412835	-2.63025148069166	2.58432996255049
