2
Theta=90.0000000000002(deg)

Frequency	Phi	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
1980000000	0	-12.8942763365242	-13.6016422346656	-21.1245617027798	-0.775242791468837	-1.74410365848901
1980000000	0.05235987756	-12.3278861013383	-13.055118570096	-20.4475400219345	-0.786669618529214	-1.89927249064239
1980000000	0.10471975512	-11.6684733157677	-12.4165230013089	-19.675669498127	-0.788351492082076	-2.02849854895302
1980000000	0.15707963268	-10.9528596907583	-11.7122142970472	-18.900403051178	-0.78267485858299	-2.13509278793373
1980000000	0.20943951024	-10.2209269637205	-10.9790171583999	-18.1750940403352	-0.77063077638489	-2.22428300022528
1980000000	0.2617993878	-9.50238251934861	-10.2481229221529	-17.5218848569778	-0.753640887902197	-2.30125329822582
1980000000	0.31415926536	-8.82723565775804	-9.55471489077861	-16.94553612156	-0.733328700955317	-2.37012393747322
1980000000	0.36651914292	-8.21473370486148	-8.92362935373318	-16.4363812507507	-0.710656510846039	-2.43462153251257
1980000000	0.41887902048	-7.680544225142	-8.37529003717494	-15.9828710530843	-0.685268162694909	-2.49660541851183
1980000000	0.47123889804	-7.23377493175195	-7.92322016880565	-15.5667834527583	-0.657942335883881	-2.55776876244261
1980000000	0.5235987756	-6.88285417889689	-7.5797056072322	-15.1730631441965	-0.628901858881741	-2.61839077675151
1980000000	0.5759586532	-6.62693504647421	-7.34804575802027	-14.7803262530726	-0.598278870550698	-2.67882778674605
1980000000	0.6283185307	-6.46526170904487	-7.23221529096121	-14.373248855106	-0.566764488403853	-2.7383015474295
1980000000	0.6806784083	-6.39325061829499	-7.23164403906653	-13.9490701892417	-0.534347019707586	-2.79551201267439
1980000000	0.7330382858	-6.40248332065478	-7.34412034748393	-13.5038060998575	-0.502302378097953	-2.8493650869507
1980000000	0.7853981634	-6.4869167425318	-7.57224443758791	-13.0405194823261	-0.471881836327079	-2.89889970076809
1980000000	0.837758041	-6.63112081818961	-7.90905435847506	-12.5671910369273	-0.444526079477061	-2.94332198457463
1980000000	0.8901179185	-6.82516967446655	-8.35646638530502	-12.0955939832775	-0.42314031888892	-2.98245249323822
1980000000	0.9424777961	-7.05054559361201	-8.90580689849932	-11.6389957126025	-0.410383018248605	-3.01642291423375
1980000000	0.9948376736	-7.29343071478982	-9.55766666401775	-11.2050992105561	-0.410534755471078	-3.04582808491005
1980000000	1.0471975512	-7.53441729726672	-10.2957013216578	-10.8088844155271	-0.427791826087497	-3.07145735596183
1980000000	1.0995574288	-7.75497205951291	-11.0942764727852	-10.4594460369379	-0.46813907703349	-3.09429817439254
1980000000	1.1519173063	-7.93536005204368	-11.9118359833773	-10.1557980795204	-0.536499541976296	-3.1154440255629
1980000000	1.2042771839	-8.06248418784083	-12.669792179321	-9.90772866226702	-0.635846661231026	-3.13599821883844
1980000000	1.2566370614	-8.12563741270954	-13.2655256886956	-9.71332087655075	-0.763903103182665	3.12613182930751
1980000000	1.308996939	-8.12871647961376	-13.6173883249309	-9.57094778883503	-0.90983728345928	3.10353874370228
1980000000	1.3613568166	-8.08369010284348	-13.7069511315193	-9.4740345866844	-1.05772057914305	3.07850915499997
1980000000	1.4137166941	-8.01256851828402	-13.6006201549056	-9.41627269099389	-1.19064549258158	3.05025015436599
1980000000	1.4660765717	-7.9438138569815	-13.4316802529048	-9.38636245178857	-1.30078929273965	3.01829023637328
1980000000	1.5184364492	-7.90341905780198	-13.329697970472	-9.37047342541208	-1.38691333500882	2.98242043408623
1980000000	1.5707963268	-7.91239098371848	-13.3999008131104	-9.35508006472023	-1.45232406097798	2.94290155629818
1980000000	1.6231562044	-7.98041017487608	-13.7274000944375	-9.32497036883631	-1.50196657135161	2.90051689429023
1980000000	1.6755160819	-8.10797686291554	-14.411869155678	-9.26689627614749	-1.54075279306137	2.85662206202686
1980000000	1.7278759595	-8.27475522096967	-15.5612407451298	-9.17272312128284	-1.57409505508164	2.81284157713282
1980000000	1.780235837	-8.44592676972433	-17.3868611114703	-9.03885195528673	-1.60936977670707	2.77139031219085
1980000000	1.8325957146	-8.56560556321798	-20.3212794221466	-8.86561223402927	-1.66292742840617	2.73382218123613
1980000000	1.8849555922	-8.57887657101462	-25.6754864558692	-8.66446115115074	-1.80551893928009	2.70183666460547
1980000000	1.9373154697	-8.43915210341611	-36.2234041763558	-8.44639181123294	-3.1126046619021	2.67652593485099
1980000000	1.9896753473	-8.13537283717274	-25.0017547668212	-8.22566559845246	1.92101094479681	2.65845950371451
1980000000	2.0420352248	-7.69565627986045	-19.169489335197	-8.01653902250905	1.79002714789311	2.64788991560589
1980000000	2.0943951024	-7.17057889229714	-15.6838906555889	-7.82974465150595	1.75106884225689	2.64423138241655
1980000000	2.14675498	-6.62138647211317	-13.2715888189252	-7.67967618812115	1.73673297834635	2.64719217799295
1980000000	2.1991148575	-6.09624069499352	-11.4840959741561	-7.57883235030802	1.73209652097983	2.65611164878915
1980000000	2.2514747351	-5.62440614947973	-10.1188978916283	-7.53058487516745	1.73168650367626	2.67028235931945
1980000000	2.3038346126	-5.22518100001835	-9.05674318327339	-7.54509911150674	1.73257776232105	2.68913860691405
1980000000	2.3561944902	-4.90886891164894	-8.22804701250084	-7.63080757630203	1.73301135483754	2.71229541863878
1980000000	2.4085543678	-4.67587150842984	-7.58508899216002	-7.78966282092262	1.7315750393102	2.73927635578311
1980000000	2.4609142453	-4.52226020487414	-7.08791752742183	-8.02797401283858	1.72702198107081	2.76969666782917
1980000000	2.5132741229	-4.44494479557929	-6.71248277168516	-8.35179250697534	1.71834760718942	2.80379450270011
1980000000	2.5656340004	-4.43491344064591	-6.43561799230455	-8.76294345697018	1.70476883648916	2.84117820866943
1980000000	2.617993878	-4.48539776464344	-6.24202311046993	-9.26519751900588	1.68571526234448	2.88298369303681
1980000000	2.6703537556	-4.58857401003943	-6.11656308051613	-9.86683240026003	1.66090696469166	2.92923345420717
1980000000	2.7227136331	-4.73630286613232	-6.0504174386296	-10.5683155437228	1.63045604307873	2.98125053740887
1980000000	2.7750735107	-4.92311354429795	-6.03723060830586	-11.3768047055416	1.59478450866454	3.0406704022656
1980000000	2.8274333882	-5.14369547749849	-6.07349055915378	-12.2942725668853	1.55466973137913	3.11001271505134
1980000000	2.8797932658	-5.39978912632061	-6.16292187084596	-13.3276118278929	1.51117258035446	-3.09012861515754
1980000000	2.9321531434	-5.69344075246895	-6.31247830318483	-14.459956789881	1.46550907371543	-2.98773802244353
1980000000	2.9845130209	-6.0322971135333	-6.53175590564099	-15.6724799244305	1.41894853097793	-2.8578763182974
1980000000	3.0368728985	-6.42716338851511	-6.8360043213797	-16.8922797174841	1.37275451058319	-2.69032831250687
1980000000	3.089232776	-6.89027005227439	-7.24400632095234	-17.9569849576205	1.32827479838908	-2.47648021132017
1980000000	3.1415926536	-7.43476575735713	-7.77811348223633	-18.6258100253733	1.28637539351243	-2.21873653909127
1980000000	3.1939525311	-8.06839412095177	-8.46427920786302	-18.6669848246602	1.24887818399694	-1.94309989977255
1980000000	3.2463124087	-8.78771394711946	-9.33199406087613	-18.0766306544525	1.21737209951581	-1.69008203421489
