2
Frequency=6000(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-16.8205123993468	-19.7906850432292	-19.8713138916565	-2.24462253751867	1.36640571195632
0	-3.089232776	-18.4355715479807	-22.8093651656769	-20.4097194692856	-2.29361720545615	1.21778005302147
0	-3.0368728985	-21.1732227361495	-27.4010205422615	-22.3556841165595	-2.18611276293478	1.26202774661258
0	-2.9845130209	-22.4162300639258	-29.6169603845682	-23.3341368137827	-1.97540999317774	1.70935728554195
0	-2.9321531434	-20.4635631275183	-26.9501337604516	-21.5681116450788	-2.05744097612694	2.12424052502384
0	-2.8797932658	-19.1215197418907	-23.3599225645978	-21.1755405198142	-2.18313853911337	2.35797557639188
0	-2.8274333882	-18.8637558703725	-21.0734307176896	-22.8564085510685	-2.18623145414109	2.79809206878193
0	-2.7750735107	-17.3719790963432	-19.8617407697837	-20.9738142942594	-2.08790377010242	-2.79079552335464
0	-2.7227136331	-14.6428938494063	-18.8343908796617	-16.7255277690003	-1.96705378027926	-2.60905478669148
0	-2.6703537556	-12.43844545138	-17.6014535689786	-14.0159640750825	-1.92107764866623	-2.71244277806282
0	-2.617993878	-11.2803566077958	-16.3231894582907	-12.9115748226063	-1.96820695589275	-2.87377001646846
0	-2.5656340004	-11.2255661445241	-15.2281991539163	-13.4286337875001	-2.05876702214003	-3.00133484386222
0	-2.5132741229	-12.0290087340072	-14.4949806644114	-15.661770558274	-2.14643752910072	-3.01674086565964
0	-2.4609142453	-12.8948938366704	-14.2090885480448	-18.7266797274901	-2.21193580120677	-2.74496795348349
0	-2.4085543678	-12.8787469718514	-14.2944993868095	-18.4353801916762	-2.24561824067819	-2.23150255362701
0	-2.3561944902	-12.0382966247846	-14.5323666735815	-15.6345724283017	-2.23039069542545	-2.0323877729015
0	-2.3038346126	-11.1708227060391	-14.521124911216	-13.8658168959007	-2.15348532721526	-2.03378183039698
0	-2.2514747351	-10.8060697311245	-13.8818240617153	-13.7518871753869	-2.04868382944194	-2.06952108548428
0	-2.1991148575	-10.8396066572871	-12.7055023730114	-15.4081726680209	-1.97860801973565	-2.07562783255193
0	-2.14675498	-10.7610143596129	-11.4938286168428	-18.8501745270615	-1.9663674775377	-1.97399723508896
0	-2.0943951024	-10.3678457170676	-10.629612997683	-22.6967614687245	-1.9862243782341	-1.53040874431164
0	-2.0420352248	-9.905470474691	-10.2220686744453	-21.4355666602396	-2.00222979714964	-0.872765210103821
0	-1.9896753473	-9.44589126812984	-10.1657611510443	-17.6061586297761	-1.99147516119757	-0.59356090911552
0	-1.9373154697	-8.8728366311748	-10.2128085365351	-14.6324959624839	-1.95653825816367	-0.465190445634028
0	-1.8849555922	-8.22907630876081	-10.162337509998	-12.6748457434088	-1.91659442568199	-0.36380663515116
0	-1.8325957146	-7.71037766565587	-10.0264942627569	-11.5473297476028	-1.88118202428492	-0.281647686983313
0	-1.780235837	-7.42370740749429	-9.9163472414395	-11.0218273157072	-1.83026893053548	-0.222511697457494
0	-1.7278759595	-7.25641281249762	-9.82011286861637	-10.7645581247077	-1.73504877827458	-0.166034306149962
0	-1.6755160819	-6.91956118426846	-9.52960543971721	-10.3707850954378	-1.59823624627572	-0.077632476255261
0	-1.6231562044	-6.20854932469219	-8.90136032535125	-9.56139167389247	-1.4660812872132	0.0429167555446901
0	-1.5707963268	-5.28033137477504	-8.11708871347693	-8.47139833959896	-1.37934255667161	0.147185232440521
