2
Theta=90.0000000000002(deg)

Frequency	Phi	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
5850000000	0	-4.05190694569214	-7.3041445435124	-6.83303892451651	3.04736853478087	1.67249721700073
5850000000	0.05235987756	-3.87460279030352	-6.7401397631072	-7.03465798668416	2.96264864372677	1.50700910663625
5850000000	0.10471975512	-3.84091931191216	-6.48127176692544	-7.25563950424324	2.85179225594067	1.33871288657584
5850000000	0.15707963268	-3.98632152168083	-6.51654533289682	-7.53643819247344	2.70825314615447	1.16543551205854
5850000000	0.20943951024	-4.27180225925977	-6.74945372633471	-7.88933201335047	2.52728509368143	0.984169427428297
5850000000	0.2617993878	-4.60984631369453	-7.03037200672326	-8.30278877386501	2.31249518531668	0.794042421137163
5850000000	0.31415926536	-4.92436876690889	-7.23460236624466	-8.76968447341281	2.08198300625359	0.598583816427101
5850000000	0.36651914292	-5.23264367261015	-7.38481627053377	-9.31345427469999	1.85983236121903	0.403894242110135
5850000000	0.41887902048	-5.66272313080465	-7.64915224353686	-10.0152584838827	1.66184717256687	0.215071443577887
5850000000	0.47123889804	-6.386033530734	-8.23586502836155	-10.9846903426416	1.48753934970075	0.030982286981906
5850000000	0.5235987756	-7.55480498921182	-9.30994679903456	-12.3375821530922	1.32518011195333	-0.158099448761564
5850000000	0.5759586532	-9.25823536961244	-10.9723281374344	-14.1246295704792	1.15810235812827	-0.372433965266651
5850000000	0.6283185307	-11.4917362755014	-13.275698953022	-16.2172124473242	0.970005061234537	-0.639826509937779
5850000000	0.6806784083	-14.0512695926673	-16.1974750227224	-18.141399774833	0.75527029597881	-0.968999641432559
5850000000	0.7330382858	-16.5485021136563	-19.8148446946464	-19.3170179671954	0.550173568636486	-1.2885477828356
5850000000	0.7853981634	-18.6507938062431	-24.7714710903973	-19.8673280476799	0.517276997701908	-1.46769782837742
5850000000	0.837758041	-19.69978949802	-29.397005227338	-20.19234812293	1.32411470946947	-1.42840767279712
5850000000	0.8901179185	-18.1904750644151	-23.3285094473646	-19.7789769889216	2.04900887914571	-1.18067712414958
5850000000	0.9424777961	-15.2250388802846	-18.5997238511069	-17.8991742261791	2.12187142469628	-0.885276742079896
5850000000	0.9948376736	-12.6388326948024	-16.0351797386533	-15.2946176819668	2.07638727918037	-0.704272437952103
5850000000	1.0471975512	-10.799381704034	-14.9850680264208	-12.8855950403053	1.99697780619926	-0.641825920799364
5850000000	1.0995574288	-9.53251113249696	-15.1908454356364	-10.9096950680743	1.89138349918168	-0.656423552806466
5850000000	1.1519173063	-8.5573632244534	-16.5772500243482	-9.30303160699465	1.74709741152399	-0.71869272749422
5850000000	1.2042771839	-7.62866581299836	-19.1274664011281	-7.94763985693381	1.53590551464548	-0.805349603625242
5850000000	1.2566370614	-6.66107051718526	-22.7554553279308	-6.76914882564798	1.21360086337399	-0.898166235310677
5850000000	1.308996939	-5.72419943337855	-27.1972125503546	-5.75524749400614	0.748306124912372	-0.982686121160264
5850000000	1.3613568166	-4.93276905855079	-33.2556472800699	-4.9391636997584	0.131578752214774	-1.0499417859645
5850000000	1.4137166941	-4.36871312996639	-40.4053849024702	-4.36979499037041	-1.77484968733408	-1.09790341908858
5850000000	1.4660765717	-4.07118067785958	-30.1451415873048	-4.08191871771899	-2.83837017420925	-1.12854386385895
5850000000	1.5184364492	-4.06272926708404	-25.8699204500838	-4.09147023891787	-3.07435766460273	-1.14655483126109
5850000000	1.5707963268	-4.36026979513967	-25.0592736031498	-4.39740101083788	3.13381304330666	-1.15836688534951
5850000000	1.6231562044	-4.94885558024542	-27.7948216141335	-4.97146647571168	-3.04441389599102	-1.17100143123016
5850000000	1.6755160819	-5.75595917925776	-33.7980719259044	-5.76278121662433	-1.94348269090836	-1.19173206571061
5850000000	1.7278759595	-6.62208851916482	-25.2065701385241	-6.68267306479732	-0.892870047942637	-1.22576875929133
5850000000	1.780235837	-7.37331408126173	-19.9739025549843	-7.61875078320234	-0.769958369457158	-1.27413556345196
5850000000	1.8325957146	-7.96513963183504	-17.6165441980015	-8.4632327119066	-0.792653370108933	-1.32953186987874
5850000000	1.8849555922	-8.52433066213308	-17.0849325408059	-9.17579433732183	-0.899181560663331	-1.37706697723842
5850000000	1.9373154697	-9.18829727042748	-17.848519875391	-9.82385100244438	-1.12704832530392	-1.40163326391036
5850000000	1.9896753473	-9.94908187361599	-18.8053208998757	-10.5545363484507	-1.54277402138843	-1.39505213685132
5850000000	2.0420352248	-10.6829542960667	-18.0978396564815	-11.5519581306247	-2.03156986431284	-1.3576432370544
5850000000	2.0943951024	-11.333617385714	-16.2540377532071	-13.0218053907078	-2.3295463880153	-1.29546765036301
5850000000	2.14675498	-12.0404893372144	-14.8579104946746	-15.252633957202	-2.42666583477114	-1.21813760253459
5850000000	2.1991148575	-12.9505248975667	-14.2487938351714	-18.8276969572124	-2.39486133945346	-1.14224534193363
5850000000	2.2514747351	-13.9247772425402	-14.2312814397563	-25.5906069146132	-2.28187904775571	-1.13558352813795
5850000000	2.3038346126	-14.4800157149282	-14.5077057116152	-36.4484674322911	-2.1372810256176	3.12799880661409
5850000000	2.3561944902	-14.3432116891469	-14.9207259159841	-23.3909856617726	-2.03210143609314	2.62479240411128
5850000000	2.4085543678	-13.8409095482918	-15.4360872233977	-18.963865177497	-2.04317041003367	2.69255239743951
5850000000	2.4609142453	-13.2148014144766	-15.6374191410996	-16.904941245757	-2.22228564620799	2.80511611248404
5850000000	2.5132741229	-12.3199942466918	-14.6106588599214	-16.1933291420563	-2.50002723438879	2.93173395995924
5850000000	2.5656340004	-11.0669432348081	-12.4988272338607	-16.5819970621913	-2.69982009112366	3.06649732813266
5850000000	2.617993878	-9.70232061543843	-10.3706403592896	-18.1601963119459	-2.76157653259699	-3.07284471834824
5850000000	2.6703537556	-8.502117183728	-8.72073898154959	-21.5918780366694	-2.71652367116095	-2.90887884566372
5850000000	2.7227136331	-7.52850924539346	-7.55237310089196	-30.1408727164423	-2.59826820670149	-2.61379582227602
5850000000	2.7750735107	-6.69013675841522	-6.7116912794969	-29.7433688971671	-2.43099325614525	0.144836549678635
5850000000	2.8274333882	-5.88993607813841	-6.05820714225659	-20.0915486566437	-2.24117678594208	0.433226539195395
5850000000	2.8797932658	-5.13834669916113	-5.55923008119705	-15.4833143233835	-2.05403762751281	0.578867576344267
5850000000	2.9321531434	-4.53377036480554	-5.29027612751141	-12.4962546252935	-1.88638345185331	0.693766826343084
5850000000	2.9845130209	-4.16704419654691	-5.35885201241762	-10.3651099450904	-1.74192892469341	0.790062308679969
5850000000	3.0368728985	-4.04973107637027	-5.82874758509451	-8.78496062925773	-1.61353511806425	0.870460700056446
5850000000	3.089232776	-4.11747144749229	-6.69532572273214	-7.60808820134765	-1.48682936090873	0.937427897190188
5850000000	3.1415926536	-4.25627905616135	-7.84780520224848	-6.75403772255757	-1.34214929138651	0.993718622079547
5850000000	3.1939525311	-4.35854999241733	-9.02362857462713	-6.17351833115668	-1.16063518153203	1.04210649383083
5850000000	3.2463124087	-4.37454235631521	-9.83014561012958	-5.82986791680648	-0.941498455870332	1.08597211845188
5850000000	3.2986722863	-4.33050260033427	-10.0055429618926	-5.70146907571389	-0.717550009846169	1.12896312510361
5850000000	3.3510321638	-4.29472237340998	-9.71713490573722	-5.76333146460514	-0.528030381974178	1.17492984233356
5850000000	3.4033920414	-4.35219010837978	-9.36926281855502	-5.99520242781995	-0.379905678189422	1.22747727450853
5850000000	3.4557519189	-4.57967061909411	-9.2891084371063	-6.37180323983128	-0.254999741549334	1.29015100014268
5850000000	3.5081117965	-5.02195555782433	-9.64335194408325	-6.85975993052494	-0.130054525877736	1.36743889035847
5850000000	3.5604716741	-5.66617603295641	-10.4742093748436	-7.40879463498857	0.0131822691083348	1.46356233870998
5850000000	3.6128315516	-6.42652326437044	-11.7062595499981	-7.95388930088264	0.182789848480363	1.58224260349383
5850000000	3.6651914292	-7.16221006024057	-13.2179628795686	-8.39994273825738	0.365536162224963	1.72466749818615
5850000000	3.7175513067	-7.73448320910863	-14.9762915074468	-8.64277840184591	0.514833397523559	1.88596071348662
5850000000	3.7699111843	-8.03461997717362	-17.1813665283402	-8.59823932561196	0.54630827563111	2.0532188117922
