2
Frequency=6050(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-8.39286315973414	-10.767758308432	-12.1477316835962	1.00329875502575	1.37637881581218
0	-3.089232776	-8.20705111394661	-10.4733345766179	-12.1157292865825	1.0189225737601	1.3214730982598
0	-3.0368728985	-8.02324289635157	-10.3355676029627	-11.8655826149309	1.03623921708724	1.1543232392065
0	-2.9845130209	-7.37027144898075	-10.5751324612705	-10.1943540977135	1.04440001478969	0.951486654828074
0	-2.9321531434	-6.4063415089967	-11.2190294072597	-8.14666401892987	1.03923830200454	0.870039544175555
0	-2.8797932658	-5.98399557431244	-11.9887348986845	-7.23868270140743	1.02062602748469	0.906261678862529
0	-2.8274333882	-6.76499071902282	-12.3886272560351	-8.15519352497735	0.992955036324177	1.01599185390934
0	-2.7750735107	-8.71085151178047	-12.1147351896271	-11.360291564246	0.968695966446833	1.15182096468695
0	-2.7227136331	-10.4842479140571	-11.4050708359587	-17.6726093338787	0.963511798492033	1.08005155661246
0	-2.6703537556	-10.1144664029034	-10.746910032464	-18.7944762872731	0.990057980862462	0.0822506977381676
0	-2.617993878	-8.27086959013384	-10.4645982979252	-12.2876745404303	1.0559535749024	0.00678590406831309
0	-2.5656340004	-6.50895097599918	-10.626991088303	-8.6374110810976	1.16661863482742	0.312689424376691
0	-2.5132741229	-5.47964740374533	-11.1966932528432	-6.83512480793481	1.319884686919	0.704385273990254
0	-2.4609142453	-5.21345294015959	-12.1600612186369	-6.19339315183898	1.5069660494298	1.13771883531257
0	-2.4085543678	-5.705767585166	-13.611118745333	-6.47323049443221	1.72767226510996	1.57782950201855
0	-2.3561944902	-7.2865888470776	-15.5601940161271	-7.98633659781948	2.00428910956404	2.01346877591366
0	-2.3038346126	-10.3809471688744	-17.5760993032168	-11.3001677974827	2.36218564564095	2.5116082061435
0	-2.2514747351	-14.5519122840335	-18.8241817548507	-16.5855802817624	2.74705683302117	-2.99650743086779
0	-2.1991148575	-16.5814364077237	-19.1947675685895	-20.0286742801038	3.03575678228833	-1.60838904970642
0	-2.14675498	-14.5208604935127	-19.1650571340047	-16.3467017951258	-3.08286136732189	-0.34721138005604
0	-2.0943951024	-10.8446172554218	-18.8507590294508	-11.5928651652258	-2.98785098268659	0.313653857157581
0	-2.0420352248	-7.96734460682479	-18.2367715292123	-8.39598944336366	-2.92330442060451	0.664640275638231
0	-1.9896753473	-6.39579705649548	-17.5291894936227	-6.74392192243331	-2.89548256279141	0.901860391164137
0	-1.9373154697	-5.81955933420667	-17.0512726830596	-6.15957819256391	-2.92694803290341	1.12559949169122
0	-1.8849555922	-5.77780651839351	-16.8886526749313	-6.12781837737155	-3.03086596706764	1.3746913552533
0	-1.8325957146	-6.0207213843481	-16.8242519609028	-6.39754327612074	3.08376283537345	1.63431478339218
0	-1.780235837	-6.70326640348016	-16.5745139993057	-7.17538562754789	2.88003496151732	1.89102987014691
0	-1.7278759595	-7.88371656830366	-15.9721017661239	-8.61667328652539	2.66939439789898	2.19590486102782
0	-1.6755160819	-8.57785256782039	-14.9122956681011	-9.72747089582574	2.46267854832025	2.62982086873721
0	-1.6231562044	-7.48252713802135	-13.3155052812441	-8.79630061054896	2.27093162075182	3.05274481466459
0	-1.5707963268	-5.5255269212541	-11.304828548051	-6.85842119713295	2.1150602651747	-3.02051047794623
0	-1.5184364492	-3.87203559515148	-9.17688017330265	-5.38886265871343	1.99880450843693	-2.95017849443207
0	-1.4660765717	-2.77561348244172	-7.18705384303748	-4.72824322514235	1.90694218278341	-2.91667986453193
0	-1.4137166941	-2.07898782513639	-5.43581535810621	-4.76837844118563	1.82076338444274	-2.87939531349716
0	-1.3613568166	-1.51740200403645	-3.91178564814668	-5.24563452169729	1.73135397613706	-2.84819098395124
0	-1.308996939	-0.932988610679101	-2.57105880054926	-5.96082858948926	1.64007879121099	-2.85628102252529
0	-1.2566370614	-0.321702382555692	-1.37982951587397	-6.97249398420815	1.55424449734161	-2.91355601679297
0	-1.2042771839	0.254932405242123	-0.327870772939173	-8.75583494228754	1.47898095115982	-2.97873249756768
0	-1.1519173063	0.798748949271584	0.589212514992952	-12.4708456632623	1.41363580422236	-2.950420173452
0	-1.0995574288	1.40646346917529	1.37446028363556	-19.9354393166271	1.35389586484607	-2.2770109674535
0	-1.0471975512	2.12890203827169	2.03758664961636	-14.6890790499857	1.29615778475384	-0.972560822343564
0	-0.9948376736	2.86621804765649	2.59195208076013	-9.26631718444269	1.24080980872822	-0.86727655422199
0	-0.9424777961	3.51262635375429	3.0601440697823	-6.53347798031778	1.19100800272117	-0.994092012557317
0	-0.8901179185	4.0630426210467	3.48374414705987	-4.97220670746773	1.14974372742256	-1.20194259229671
0	-0.837758041	4.51980313168965	3.90097092332454	-4.24805351948766	1.11651024360101	-1.42513997810773
