2
Frequency=5950(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-29.3335779083534	-29.4894658520991	-43.8610065640644	-0.48111715732196	0.594318491186443
0	-3.089232776	-34.6990344681339	-47.479733509839	-34.9342255739476	-1.17130989327036	0.269751875777634
0	-3.0368728985	-28.969601066689	-34.0519039460842	-30.582944533405	2.87061341677274	0.00258301758983148
0	-2.9845130209	-26.2589505770534	-29.0060291662238	-29.5494606819289	2.64476691605744	-0.13122221020105
0	-2.9321531434	-24.9909209852015	-25.6985861151595	-33.2195151311264	2.3153007706447	-0.242467585194569
0	-2.8797932658	-21.9943882726462	-22.0397595974561	-41.8270826927031	2.0092724499976	-2.42142755677685
0	-2.8274333882	-18.2160219216318	-18.7769964409809	-27.3819021707994	1.84561184564099	-2.89559271422225
0	-2.7750735107	-15.6275072785965	-16.6325021429032	-22.4765235334688	1.80892803654795	-2.83254330041401
0	-2.7227136331	-14.4742621366632	-15.6020987972828	-20.8813645079373	1.87501150754801	-2.70616236128849
0	-2.6703537556	-14.4543079787457	-15.2595173107395	-22.1694490901037	2.03278560549404	-2.50047927806978
0	-2.617993878	-14.7511237118478	-14.9912093201872	-27.4447953529209	2.24194016223091	-1.8865856999412
0	-2.5656340004	-14.1606134145966	-14.5545325479909	-24.7798566990141	2.41894319319674	-0.327068778284918
0	-2.5132741229	-12.8173657911614	-14.2977367344121	-18.2106837125572	2.51344462821839	0.0968343765874129
0	-2.4609142453	-11.8378208955079	-14.6002849630819	-15.1109603416848	2.53988615598164	0.233650833802503
0	-2.4085543678	-11.7946282926102	-15.6526005594516	-14.0959958163567	2.5454185938971	0.308785913894607
0	-2.3561944902	-12.8371579375096	-17.4739022020451	-14.66689890019	2.59405688523867	0.372617410689905
0	-2.3038346126	-14.9841818638432	-19.6977331623683	-16.774214731269	2.77254663024655	0.455380275148843
0	-2.2514747351	-17.9175236519557	-20.9409967120653	-20.9146903412344	3.11915744850027	0.60498251061802
0	-2.1991148575	-19.5565751603166	-20.024938778101	-29.4606641607568	-2.83389173132147	1.10342731019923
0	-2.14675498	-17.7018439274979	-18.0762213890591	-28.5324342067667	-2.66002581582933	3.12761119290393
0	-2.0943951024	-14.9187993509124	-16.0312340974885	-21.3782480568612	-2.57803969370672	-2.71726387320632
0	-2.0420352248	-12.616785455385	-14.0746518060707	-18.0660126740878	-2.5224596976713	-2.52732588292099
0	-1.9896753473	-10.8562774982763	-12.2691418209258	-16.4204134364772	-2.4717256546868	-2.37726865318886
0	-1.9373154697	-9.51199401476797	-10.6887128039251	-15.7581931184694	-2.4230524810299	-2.22617767588425
0	-1.8849555922	-8.46251043396218	-9.38394866091296	-15.6482675997554	-2.37494229339009	-2.05064891842013
0	-1.8325957146	-7.60112575415655	-8.33555528328362	-15.6815086299676	-2.31907871453954	-1.83970502146104
0	-1.780235837	-6.83921104390228	-7.46332109505297	-15.5727610250284	-2.24660674788493	-1.60179000449048
0	-1.7278759595	-6.12734321310462	-6.68909741460496	-15.2875729655639	-2.15256848136758	-1.35105556997018
0	-1.6755160819	-5.4517099964886	-5.97120416007646	-14.9309045716927	-2.03871285330025	-1.08968324500773
0	-1.6231562044	-4.83162007815853	-5.32707882743985	-14.5047626464323	-1.91000700006241	-0.818080997269154
0	-1.5707963268	-4.3023112059408	-4.79813566019484	-13.9724287441014	-1.7707133478406	-0.555157079296764
0	-1.5184364492	-3.87172999855405	-4.38335997365811	-13.4133171788489	-1.62276475177184	-0.330727825002732
0	-1.4660765717	-3.52327683010084	-4.0428682170525	-13.0017063416528	-1.46898815197248	-0.156290641386712
0	-1.4137166941	-3.21831884209454	-3.72287726898972	-12.8168843441895	-1.31550414471371	-0.0191402694861651
0	-1.3613568166	-2.93826508251554	-3.41717411472576	-12.7508322106301	-1.16895977843955	0.105758448155345
0	-1.308996939	-2.70729554370377	-3.17382693344009	-12.627507682751	-1.03225512988607	0.23790020080308
0	-1.2566370614	-2.57198068269026	-3.05468067022348	-12.3521657240874	-0.903270266594665	0.377773386241812
