2
Frequency=5900(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-20.6325487775786	-20.6919720762371	-39.3005020985143	-2.26094512591817	0.805689016077575
0	-3.089232776	-23.7457182096589	-23.7858962594968	-44.1037463286738	-2.33159046565818	-2.0302835695834
0	-3.0368728985	-26.5995321825992	-28.1267884666247	-31.879528885569	-2.37944611300281	-2.14246407318882
0	-2.9845130209	-28.3538533762229	-34.3091720035049	-29.6252210694631	-2.12724865947531	-2.10778762524524
0	-2.9321531434	-31.3949787370871	-34.6268145015731	-34.1944971759928	-0.93990095042907	-2.00867750733448
0	-2.8797932658	-27.3948665145502	-27.9184543709225	-36.8419780521267	-0.510627275939469	1.01112114878106
0	-2.8274333882	-21.2395899715182	-23.7195106653521	-24.8541712004768	-0.388912653505696	1.20584468364158
0	-2.7750735107	-17.8998552849695	-21.2200663598767	-20.6208938950992	-0.285824137997998	1.35340890873341
0	-2.7227136331	-16.5505767480615	-19.7723440410976	-19.3592298384812	-0.150190474794271	1.53852129284219
0	-2.6703537556	-16.5860420907426	-18.8509551851774	-20.4967212552324	0.0276966843496769	1.82401867805209
0	-2.617993878	-16.9570926347742	-17.9498562999678	-23.8534072023285	0.226052994781984	2.45796835656431
0	-2.5656340004	-15.8504303192149	-16.8350205768251	-22.7787165022572	0.398178763700344	-2.63698183933637
0	-2.5132741229	-13.5280015589147	-15.656596396941	-17.6458286541711	0.5149333956185	-2.04269721860426
0	-2.4609142453	-11.5809364482668	-14.6633951550005	-14.5202570158486	0.585151898591526	-1.78327220413452
0	-2.4085543678	-10.5649340464282	-14.0228288056362	-13.1694897834393	0.638476025462472	-1.61813894598855
0	-2.3561944902	-10.51296465193	-13.8027197769871	-13.260709531038	0.708413709690655	-1.47712763894542
0	-2.3038346126	-11.310068462256	-13.956000478766	-14.7181294111793	0.823488411715957	-1.31464745195937
0	-2.2514747351	-12.6204513104782	-14.254102992205	-17.6579508298455	1.0042650115051	-1.05480438777788
0	-2.1991148575	-13.6026555057374	-14.3224685788711	-21.7632379913675	1.24271309942405	-0.494223475083585
0	-2.14675498	-13.3271740894769	-13.8776475995275	-22.5699828842411	1.49660174940609	0.489561941208816
0	-2.0943951024	-12.1101330112037	-13.0035945564315	-19.4162922252976	1.71979675552714	1.1490593756666
0	-2.0420352248	-10.7283625319032	-11.943092430762	-16.8546258400059	1.89953837484173	1.52699161396979
0	-1.9896753473	-9.46465365762777	-10.851944940398	-15.0960169202355	2.04614386992321	1.81861581301579
0	-1.9373154697	-8.35405700776063	-9.79868854936441	-13.8366408774678	2.17251078947885	2.07105373783512
0	-1.8849555922	-7.40491125019084	-8.8195148266604	-12.964526785668	2.28723727905179	2.29481564999591
0	-1.8325957146	-6.63756626707689	-7.95625052766227	-12.456672624695	2.39614492393936	2.50329458612904
0	-1.780235837	-6.03608576762224	-7.23161396317519	-12.2223906616938	2.50485130571664	2.71503276457314
0	-1.7278759595	-5.54546031783173	-6.63753863467461	-12.075368504223	2.61789227887652	2.94455149419761
0	-1.6755160819	-5.08303722783225	-6.12820928810344	-11.7811130565174	2.73765805924849	-3.09339836552118
0	-1.6231562044	-4.5994907851079	-5.65920815465422	-11.2445232075902	2.86268688613913	-2.85450528428431
0	-1.5707963268	-4.10396886704083	-5.20839342406581	-10.5909675684604	2.98863173832727	-2.64327248691552
0	-1.5184364492	-3.65830167474143	-4.79816433809662	-10.0250924891695	3.11144361337425	-2.46472194737488
0	-1.4660765717	-3.33323248693305	-4.47828645907748	-9.68277099201182	-3.0527885018842	-2.31220045249474
0	-1.4137166941	-3.16363091456565	-4.29028464245743	-9.5747248703666	-2.93545527104702	-2.17658856700072
0	-1.3613568166	-3.15094200254776	-4.25647450061628	-9.63411661972127	-2.81695133706163	-2.05315615343307
0	-1.308996939	-3.27275565448391	-4.37832028036466	-9.75581944653566	-2.69645459283531	-1.94108266463463
