2
Phi=0(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
5850000000	-3.1415926536	-10.7980724642868	-12.5860373607391	-15.5156807395489	-2.21387154123574	1.81513817639161
5850000000	-3.089232776	-10.9019102564574	-12.5234011690127	-15.9661577392633	-2.3167177030771	1.83226915661845
5850000000	-3.0368728985	-11.7763095158265	-13.0161129682392	-17.8257887247132	-2.34606825404504	2.01278541595668
5850000000	-2.9845130209	-12.3987011094409	-13.5861533560646	-18.6105891302413	-2.27636450448011	2.49487031277683
5850000000	-2.9321531434	-12.0229054597489	-13.6962827159109	-16.97466641147	-2.1563828276613	2.85033869338002
5850000000	-2.8797932658	-11.6932319772329	-13.5219839186477	-16.3318644497055	-2.0698780475348	2.97357732670091
5850000000	-2.8274333882	-12.2000621320604	-13.6584657728789	-17.6479427131093	-2.02595330949917	3.14070096809004
5850000000	-2.7750735107	-12.869673639642	-14.2801571841695	-18.4400079123286	-1.97269079314494	-2.60411090729602
5850000000	-2.7227136331	-11.7473818373453	-14.9259386396795	-14.5957012467706	-1.85808750230961	-2.12617526124822
5850000000	-2.6703537556	-9.36936783020391	-14.8674025010114	-10.8079169112765	-1.70248781582568	-2.03227103839288
5850000000	-2.617993878	-7.74348444000158	-14.0963131567689	-8.88754629882529	-1.58703412912395	-2.07389550105347
5850000000	-2.5656340004	-7.47112669320882	-13.2492279765185	-8.80445223624587	-1.53495152082985	-2.15253181581836
5850000000	-2.5132741229	-8.48354988942787	-12.7448400972627	-10.523788268806	-1.51598594505259	-2.2263895569688
5850000000	-2.4609142453	-10.3198286672122	-12.6610895121017	-14.1213408570631	-1.50657139079038	-2.2006762388231
5850000000	-2.4085543678	-11.8597698457902	-12.9711766701792	-18.3227413612626	-1.50298435309876	-1.72290662574617
5850000000	-2.3561944902	-11.6178670004372	-13.6696650002285	-15.8599479724815	-1.50411583267848	-1.02302981133095
5850000000	-2.3038346126	-10.1706410813762	-14.7163674679874	-12.0488445749295	-1.48791725245714	-0.869291699074753
5850000000	-2.2514747351	-9.21748701522341	-15.7792221212544	-10.3005086664256	-1.40724543134905	-0.886494859878252
5850000000	-2.1991148575	-9.39967848217203	-16.0894675791577	-10.4471080030038	-1.24672746186555	-0.930691129837553
5850000000	-2.14675498	-10.4883053029763	-15.2674777880727	-12.2452433889016	-1.0977600529033	-0.938597873702223
5850000000	-2.0943951024	-11.6122165844921	-14.0892837304969	-15.2305061513417	-1.04288225393759	-0.783356516581281
5850000000	-2.0420352248	-11.7309253953766	-13.3262391936649	-16.8535743429618	-1.06959892062292	-0.271319470211625
5850000000	-1.9896753473	-10.6819439562972	-13.155325707546	-14.3050311934496	-1.1409548144011	0.217554119134008
5850000000	-1.9373154697	-9.19311253275123	-13.3806431394919	-11.2781889447856	-1.22791051659244	0.435299198131226
5850000000	-1.8849555922	-7.95268299158059	-13.7425476594606	-9.2817890860715	-1.30851716754927	0.552951924449802
5850000000	-1.8325957146	-7.15389045624743	-14.168578252073	-8.11676604791987	-1.37104566070926	0.635965226193725
5850000000	-1.780235837	-6.66173076481131	-14.8341773672997	-7.37940853925133	-1.41642303574452	0.694319064339598
5850000000	-1.7278759595	-6.23912786922571	-15.8929843152896	-6.73692307669302	-1.45078573639077	0.734849227131065
5850000000	-1.6755160819	-5.71628538491061	-17.1870032591356	-6.03740710449422	-1.47415068321874	0.774770818000398
5850000000	-1.6231562044	-5.12174200561557	-18.1639679169857	-5.34283212299268	-1.47741021294747	0.824780853184419
5850000000	-1.5707963268	-4.62877355258472	-18.3562367807442	-4.81688251521884	-1.45325728549487	0.877128141147473
5850000000	-1.5184364492	-4.3836658311847	-18.0156968220528	-4.57604799825988	-1.40781931226232	0.917269132989577
5850000000	-1.4660765717	-4.41473751443492	-17.78032096325	-4.61958376584003	-1.3506152852992	0.941286746961373
5850000000	-1.4137166941	-4.61457887400636	-17.8551386128835	-4.82555556094459	-1.29580166047772	0.959056583928117
5850000000	-1.3613568166	-4.81891796937311	-17.9417648775271	-5.03583842073377	-1.27404929614522	0.984180410155655
5850000000	-1.308996939	-4.90479861173335	-17.6645999331019	-5.14115559181416	-1.30928319745402	1.01227364567603
5850000000	-1.2566370614	-4.85911030710519	-17.1743580597677	-5.12172816974163	-1.37127594367029	1.02066539114705
5850000000	-1.2042771839	-4.71631550521517	-17.1376612391183	-4.97240471526606	-1.40824903880603	0.992823378567801
5850000000	-1.1519173063	-4.45777031412894	-18.2311723712507	-4.64385696337293	-1.39988093264405	0.941360044482504
5850000000	-1.0995574288	-4.04870807894972	-20.8892582111502	-4.13954517384635	-1.38054862357064	0.898268827645174
5850000000	-1.0471975512	-3.53570440874006	-25.5521978976403	-3.563088823484	-1.57452001623559	0.883815517523635
5850000000	-0.9948376736	-3.04082149071701	-26.4465245862562	-3.06069191516861	-2.62606801275098	0.895455584576628
5850000000	-0.9424777961	-2.66504920259033	-19.1792607377382	-2.76305556278371	-3.12814487466598	0.924051332304913
5850000000	-0.8901179185	-2.47722148792863	-13.8881938296852	-2.80296241490637	3.05767894821361	0.967627121587762
5850000000	-0.837758041	-2.4959701118162	-10.1744985445624	-3.30867571008684	3.04863386614285	1.02425209764757
5850000000	-0.7853981634	-2.64134680421285	-7.44565939414221	-4.38580349804327	3.09099877393817	1.07127770201691
5850000000	-0.7330382858	-2.68005425601536	-5.3935008767448	-6.00899683369639	-3.11209637088094	1.04126979111368
5850000000	-0.6806784083	-2.28901339690379	-3.85837147554522	-7.47071156070294	-3.01878874704284	0.839737920610217
5850000000	-0.6283185307	-1.42948854647407	-2.75907187223437	-7.21802057002952	-2.93851181562567	0.553805581532021
5850000000	-0.5759586532	-0.508314765714287	-1.9639370660385	-5.96317268453318	-2.88490705990278	0.447297870757423
5850000000	-0.5235987756	0.141405034618422	-1.22591072580009	-5.54348587279385	-2.85316916108172	0.539153308291173
5850000000	-0.47123889804	0.599876795040767	-0.311118056618155	-6.6303451761276	-2.8227919431444	0.747614423150616
5850000000	-0.41887902048	1.14308176772327	0.775703628799267	-9.76602250972958	-2.77305961643248	0.986123344683081
5850000000	-0.36651914292	1.87019329462111	1.8171871318723	-17.2908622868829	-2.69724668587606	1.01166934796341
5850000000	-0.31415926536	2.59257559020012	2.56320738208869	-19.121168861625	-2.59421490090081	-0.679949228462625
5850000000	-0.2617993878	3.11550548826411	2.98227774915872	-12.0828346246818	-2.46485751933203	-0.754983888363218
5850000000	-0.20943951024	3.3710408884486	3.21013229960436	-11.021215854095	-2.31147011570573	-0.522057827904361
5850000000	-0.15707963268	3.52158748311574	3.45204206948164	-14.4682969891612	-2.14914369802612	-0.268098452129818
5850000000	-0.10471975512	3.75673478404574	3.75491707215517	-30.0267666715502	-1.99536661858054	-1.1686118519844
5850000000	-0.05235987756	4.0387968207311	3.96348322919955	-13.6079150831226	-1.85484895115735	-2.40838585577945
5850000000	-4.4408920985E-16	4.15625859380353	3.91420237805902	-8.50288811804041	-1.71511752076552	-2.16743595165194
5850000000	0.05235987756	3.91232861536565	3.58552280632099	-7.48499510451879	1.57812908749049	1.21385431457686
5850000000	0.10471975512	3.32772980378132	3.11997878699534	-9.9781431592248	1.73888360633902	1.36600824972367
5850000000	0.15707963268	2.75552013157828	2.70877716102373	-16.9485104174362	1.88756949435279	0.987517298359556
5850000000	0.20943951024	2.57521257995225	2.46365812634149	-13.3834192337635	2.0027149736847	-0.0867080068457718
5850000000	0.2617993878	2.75652048478524	2.41980169989358	-8.51592084483396	2.08408456320849	0.0364469098202737
5850000000	0.31415926536	3.05596665792377	2.56504935239556	-6.65493975807432	2.1491997206508	0.397207453416807
5850000000	0.36651914292	3.29597946404647	2.8503246327294	-6.81279957323244	2.2115604790112	0.799961744768963
5850000000	0.41887902048	3.44470811000339	3.20687416401839	-9.28877088457455	2.27123466517351	1.22849756362154
5850000000	0.47123889804	3.63002257533672	3.57354829104798	-15.2575197237887	2.32573040637594	1.78466504816286
5850000000	0.5235987756	3.97235390347736	3.96956521810511	-27.9528882912151	2.37813454278431	-2.94167381382669
5850000000	0.5759586532	4.41683510230743	4.39916782289937	-19.4981418811502	2.43767253666506	-0.642689390015092
5850000000	0.6283185307	4.90271007027371	4.83433947544194	-13.1605799089643	2.50795021885011	0.213101822119362
5850000000	0.6806784083	5.31752819375875	5.17111935034607	-9.47764058953584	2.58509736787082	0.822885860284684
5850000000	0.7330382858	5.52057971516779	5.29957660845527	-7.52331257500331	2.65962477722522	1.35598303829889
5850000000	0.7853981634	5.47261262769576	5.18313096732513	-6.43295681353181	2.72386029588375	1.85938054726522
5850000000	0.837758041	5.25342972924741	4.90335588251162	-5.85667792927576	2.77381052002419	2.29662373814843
5850000000	0.8901179185	4.95113511927159	4.59186421942602	-6.05088473237375	2.80778281316595	2.64975820449358
5850000000	0.9424777961	4.64639705109502	4.35672148727238	-7.25636020435922	2.82838300759911	2.94810864072366
5850000000	0.9948376736	4.37219190209045	4.19220862257781	-9.54301045466241	2.84162361525478	-3.0599264093575
5850000000	1.0471975512	4.11304677414574	4.0344597243778	-13.3505207588967	2.85434955404528	-2.80709072751804
5850000000	1.0995574288	3.84593592769705	3.83437077940069	-21.9061764165433	2.8700950098202	-2.607431214684
5850000000	1.1519173063	3.62302697499418	3.61404118805416	-23.2237470876105	2.88925471207571	0.759568354655448
5850000000	1.2042771839	3.46970620207894	3.37970138274979	-13.4104039556814	2.90923700910873	0.877916784517095
5850000000	1.2566370614	3.31510926094083	3.09014105478236	-9.65352094795965	2.92853214829578	1.00437007600569
5850000000	1.308996939	3.03285633842696	2.65481882389058	-7.75728551056619	2.94744763488538	1.12910760023101
5850000000	1.3613568166	2.58501469049723	2.03087404421324	-6.63075299694167	2.96608596752641	1.22631470353642
5850000000	1.4137166941	2.04158329165703	1.27564129683345	-5.87164491574691	2.97942480481996	1.25949055545719
5850000000	1.4660765717	1.47714905187312	0.492867327034371	-5.45234981322769	2.97653717426744	1.21568727846894
5850000000	1.5184364492	0.881443561706896	-0.274083227117191	-5.43355985904859	2.9477998794309	1.11099420962266
5850000000	1.5707963268	0.176373692770684	-1.09412572658756	-5.78149894654757	2.8937254947412	0.968438834756568
5850000000	1.6231562044	-0.673964027108761	-2.07173715189091	-6.27759832629073	2.82441817515096	0.801713731837632
5850000000	1.6755160819	-1.5616551485763	-3.21144932005324	-6.56401559574326	2.7503085725853	0.617650674913935
5850000000	1.7278759595	-2.26125396338293	-4.33809778368133	-6.46217711616457	2.67683966552556	0.422134315422694
5850000000	1.780235837	-2.67902377148451	-5.21855292232516	-6.21740041254206	2.60358128001685	0.219223700060903
5850000000	1.8325957146	-3.04321482122715	-5.83200762911616	-6.28692972017189	2.52709899074592	0.00247473200717591
5850000000	1.8849555922	-3.70468112226266	-6.43916521300119	-7.00950880612249	2.44803672757035	-0.241934697967343
5850000000	1.9373154697	-4.87651244608887	-7.33526779472324	-8.51873324951205	2.37314201999875	-0.532508200563017
5850000000	1.9896753473	-6.53669210347621	-8.58259926447056	-10.7885451895253	2.31800739886255	-0.900489945302527
5850000000	2.0420352248	-8.3662176339978	-9.92480222448504	-13.5727683599326	2.30452022266406	-1.41355448323805
5850000000	2.0943951024	-9.69510980570181	-10.9644448177274	-15.6564106902177	2.34769894246113	-2.17705060459579
5850000000	2.14675498	-9.83720951581038	-11.4976062403349	-14.8167143024129	2.43891650890233	-3.04088305388358
5850000000	2.1991148575	-8.98948835508791	-11.5617960855946	-12.4869587090317	2.56240871906678	2.57986904580086
5850000000	2.2514747351	-7.95029443631858	-11.0753484612093	-10.8487945896218	2.69251100651778	2.04988250946065
5850000000	2.3038346126	-7.17185311273049	-9.96220886724397	-10.4138331235929	2.76973951310114	1.52511100589544
5850000000	2.3561944902	-6.64592151374057	-8.58734488071556	-11.0771724379768	2.74711164345214	0.913834767931205
5850000000	2.4085543678	-6.20530783903641	-7.47503843639688	-12.1654436355354	2.6379621309766	0.146763196243463
5850000000	2.4609142453	-5.88369487308536	-6.95386159580523	-12.491124765491	2.48138931188878	-0.736228164685828
5850000000	2.5132741229	-5.8963970113978	-7.13780615547121	-11.94101990799	2.31001899626125	-1.57169470535906
5850000000	2.5656340004	-6.36033134107033	-7.896235781029	-11.6198757418427	2.15081341923972	-2.29364121737617
5850000000	2.617993878	-7.2786142806976	-8.85859823271432	-12.4359987359254	2.02985567434276	-2.94522327328136
5850000000	2.6703537556	-8.47077284301397	-9.53629835253969	-15.0948530393612	1.9562016236877	2.66630022021213
5850000000	2.7227136331	-9.40663658575929	-9.77350867017092	-20.3214778260292	1.89858733773198	1.72110246421236
5850000000	2.7750735107	-9.68738900143038	-9.96675699170418	-21.7424009136771	1.81528600735018	-0.00971125666906993
5850000000	2.8274333882	-9.62167069944217	-10.6236088151879	-16.4824468254493	1.69369317868472	-1.04135835633134
5850000000	2.8797932658	-9.67788487977879	-11.8836858184104	-13.676384561768	1.54652604424467	-1.57255682714895
5850000000	2.9321531434	-10.2632194042174	-13.3582951706348	-13.1903667694542	1.40001524267161	-1.8819777934067
5850000000	2.9845130209	-11.444474267484	-14.2561054769574	-14.6629685988472	1.28008115554517	-1.97038934034565
5850000000	3.0368728985	-12.1620061247065	-14.0616355215654	-16.6684089436034	1.17632359186403	-1.75001595861434
5850000000	3.089232776	-11.5402177820818	-13.2390027108274	-16.438417242246	1.05723133803759	-1.4254831130945
5850000000	3.1415926536	-10.7980724642868	-12.5860373607391	-15.5156807395489	0.927721112354056	-1.32645447719818
5900000000	-3.1415926536	-12.1671840917695	-15.6010448425343	-14.7915864469708	-0.360026153536499	-2.70942644798933
5900000000	-3.089232776	-12.6307315365995	-15.6995681754104	-15.5832733202279	-0.581511164148367	-2.74232339950192
5900000000	-3.0368728985	-13.9401893353089	-15.8163903872867	-18.4896190946509	-0.75219358873062	-2.63591444046348
5900000000	-2.9845130209	-14.8536664398299	-16.1489139478891	-20.7395218625407	-0.769512073674835	-2.12792980754659
5900000000	-2.9321531434	-14.6011840104033	-16.5538876936705	-19.0124941282283	-0.620257303674257	-1.72564425919613
5900000000	-2.8797932658	-14.3534102106576	-16.5789103057798	-18.3223125845592	-0.411383188856689	-1.64190762320916
5900000000	-2.8274333882	-15.0663484066974	-16.5079348888638	-20.5566578278548	-0.276719184708174	-1.46829508215777
5900000000	-2.7750735107	-15.570870023829	-16.8151126277112	-21.6069408927939	-0.23280894674739	-0.62518699219187
5900000000	-2.7227136331	-13.4759480591378	-17.3965146548013	-15.7341053851156	-0.205897149844079	-0.157241318004245
5900000000	-2.6703537556	-10.8131269203091	-17.7196154754333	-11.8032814475089	-0.105484809577395	-0.173159409073979
5900000000	-2.617993878	-9.38026751560625	-17.2071222344231	-10.1630680646353	0.0686926216875908	-0.29210492053098
5900000000	-2.5656340004	-9.36504280173804	-16.0401676380959	-10.4164806023789	0.209765165769079	-0.42506246324129
5900000000	-2.5132741229	-10.5402149169733	-14.9861205742541	-12.473399736775	0.258378196126825	-0.524412791315724
5900000000	-2.4609142453	-12.3076771335162	-14.4632827504945	-16.3831408486427	0.236439423830146	-0.462762914451318
5900000000	-2.4085543678	-13.3203316526981	-14.475031316521	-19.63804961122	0.195734500790383	0.13546723464359
5900000000	-2.3561944902	-12.4898541184247	-14.9102115120097	-16.1830221811701	0.197013534698464	0.701916370732072
5900000000	-2.3038346126	-10.9297437098798	-15.4891918456009	-12.8005409100613	0.287297013583285	0.804228910445873
5900000000	-2.2514747351	-10.0365090305067	-15.6628420270856	-11.4256949677629	0.456373233365716	0.794620563321911
5900000000	-2.1991148575	-10.2173733565105	-15.0964226566796	-11.9253553360459	0.612449538403336	0.784002685654104
5900000000	-2.14675498	-11.1577151384953	-14.178854797567	-14.1572023805361	0.683929656838297	0.839915825432275
5900000000	-2.0943951024	-11.9322102807999	-13.3994469592516	-17.3580355620234	0.683360159015143	1.12496567403509
5900000000	-2.0420352248	-11.6815528568183	-12.9412243838847	-17.6714456030624	0.653883200926051	1.71964845535344
5900000000	-1.9896753473	-10.519182591767	-12.7927482812464	-14.4172533598292	0.625268964183819	2.08794659193243
5900000000	-1.9373154697	-9.12642438967458	-12.8610559127518	-11.516107224653	0.603487282166179	2.23877465526376
5900000000	-1.8849555922	-8.01921982580867	-13.057844370526	-9.65235782406593	0.580145444210993	2.33814745960936
5900000000	-1.8325957146	-7.35617492069201	-13.4004189300976	-8.59770944057673	0.551409831919049	2.41997820350071
