2
Phi=0(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
5850000000	-3.1415926536	-16.3939199029618	-18.1745625117638	-21.1259392952899	2.54394686562008	0.768573408633807
5850000000	-3.089232776	-20.4139203024264	-25.6225447756088	-21.9716099181768	2.53848865982804	0.581146482946259
5850000000	-3.0368728985	-22.2158784416222	-40.2474320836382	-22.2847544861261	-0.684462634977836	0.346970505390597
5850000000	-2.9845130209	-20.8910003360321	-26.6612317791483	-22.2271574240205	-0.805343743996782	0.327880432664926
5850000000	-2.9321531434	-20.5201545101715	-24.8665021335041	-22.5101762302567	-1.15242975476437	0.633674727434533
5850000000	-2.8797932658	-19.7452121343663	-23.3166504600446	-22.2586507484235	-1.76778965716581	1.17663374252462
5850000000	-2.8274333882	-17.5513859820284	-19.6995390087636	-21.6384707817027	-2.1903383531255	1.71744109993602
5850000000	-2.7750735107	-15.76568461435	-16.8164184368138	-22.4433803889242	-2.29356472586043	2.25606907626497
5850000000	-2.7227136331	-14.8427412629173	-15.322710190445	-24.6462276420053	-2.20916149382053	3.10863568083369
5850000000	-2.6703537556	-14.1171909293667	-14.781104929618	-22.601644690039	-1.98424919020197	-2.06751566941501
5850000000	-2.617993878	-13.1300852306824	-14.4229482899927	-19.0228099367363	-1.64643013972995	-1.45058663891147
5850000000	-2.5656340004	-12.1734513867323	-13.5996168889415	-17.7031815768232	-1.2755804445071	-1.06250486144149
5850000000	-2.5132741229	-11.5580069446529	-12.4500368815491	-18.8704392149922	-0.964535691845055	-0.715616834178021
5850000000	-2.4609142453	-11.2151741226036	-11.4736870061515	-23.5968106130266	-0.732647994142887	-0.284326687198814
5850000000	-2.4085543678	-10.8956250425508	-10.918362633813	-33.7173874389601	-0.551631955379542	1.58636518036191
5850000000	-2.3561944902	-10.412985642005	-10.7541035600656	-21.6312260637048	-0.39325229201626	2.91882735454707
5850000000	-2.3038346126	-9.82427062366269	-10.8391179766897	-16.6356535588829	-0.242596448114196	-2.95325047582243
