2
Frequency=6000(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-30.4136930028943	-34.9228244884417	-32.3118259508577	2.6468321170826	2.05031561878749
0	-3.089232776	-27.972892525363	-32.5204748649181	-29.8500921623054	-2.4034363935963	1.91279578451981
0	-3.0368728985	-25.7424001810251	-28.5063577715042	-29.0138603562135	-1.89995664790238	1.96849719247364
0	-2.9845130209	-24.3840486377455	-25.697094968453	-30.2190858878917	-1.68985027444946	2.26594983362837
0	-2.9321531434	-23.4088612761366	-23.8402014814178	-33.6523902065672	-1.76733744681609	2.86890853488455
0	-2.8797932658	-21.8759569043267	-22.0609751616856	-35.6738348666626	-2.07766086697571	-1.85829500506139
0	-2.8274333882	-18.8503676637857	-19.5307017346855	-27.2367158377832	-2.38272626048057	-0.939902685449339
0	-2.7750735107	-16.0924488699463	-17.1820481662902	-22.6310390825124	-2.49858314419012	-0.704323865523962
0	-2.7227136331	-14.6094915629117	-15.5686019749007	-21.6393818619208	-2.43055690448909	-0.626398848280946
0	-2.6703537556	-13.9510776639136	-14.3064610819302	-24.9984292431825	-2.24472643647093	-0.598752756528859
0	-2.617993878	-13.0888358052363	-13.0899847495603	-48.8642635379835	-2.0461511118531	1.59455261167146
0	-2.5656340004	-11.8661796253326	-12.2355987493982	-22.7522293250135	-1.90799236555622	2.39930806058402
0	-2.5132741229	-11.0778885387714	-12.1353778581025	-17.7309927802681	-1.82909354287343	2.37933976531209
0	-2.4609142453	-11.2399711386409	-12.9218720707509	-16.1736547304656	-1.77283663589324	2.35300833802439
0	-2.4085543678	-12.4372634343285	-14.4760052620906	-16.7010505157234	-1.69201245954282	2.332493075441
0	-2.3561944902	-14.5334999885398	-16.446588855478	-19.0154791472677	-1.54595094201389	2.30787866751591
0	-2.3038346126	-17.130419112664	-18.2851978946294	-23.4478773179489	-1.34015217207168	2.21872955601063
0	-2.2514747351	-19.3870501420264	-19.6716457300666	-31.3641323744823	-1.1518191840849	1.6461635053941
0	-2.1991148575	-20.0476983492992	-20.7062386717376	-28.5648279740275	-1.0583773226411	0.156220028463444
0	-2.14675498	-18.8156107506523	-21.0969859912926	-22.7023543939585	-1.07421145369722	-0.137611697468785
0	-2.0943951024	-16.9303371998292	-20.1570123968815	-19.7345325335493	-1.14035138286546	-0.187314105708072
0	-2.0420352248	-15.1674677755996	-18.0492427160339	-18.310212614252	-1.17493598453273	-0.150640268410578
0	-1.9896753473	-13.6202429482262	-15.6733888867958	-17.8600928178384	-1.16196284092974	-0.0462424410952217
0	-1.9373154697	-12.2745902992306	-13.6276829803199	-17.9981530301886	-1.11496508497837	0.106938722912567
0	-1.8849555922	-11.1362414906481	-12.0108871799971	-18.5257487879265	-1.03721292457284	0.276421792245997
0	-1.8325957146	-10.1247803149082	-10.6656105414593	-19.4396230940665	-0.926612391204355	0.451194900379227
0	-1.780235837	-9.07243648516191	-9.39090388873681	-20.5778904236851	-0.786023554185209	0.679698420514185
0	-1.7278759595	-7.88990078231583	-8.10382532712126	-21.0716609491895	-0.629824227367266	1.03443182845417
0	-1.6755160819	-6.65448618963465	-6.86702690562117	-19.8637448769212	-0.470450895872068	1.43899290781169
0	-1.6231562044	-5.51250391902048	-5.7765969674585	-17.8041547378575	-0.311480944343152	1.74564847901336
0	-1.5707963268	-4.55024536810485	-4.86058060115726	-16.1640213002803	-0.15144258933344	1.96993008414793
0	-1.5184364492	-3.75829816757025	-4.07785830894446	-15.2494156119366	0.00926888536160191	2.16990637426032
0	-1.4660765717	-3.0656427545398	-3.36805827224374	-14.7877755101467	0.16640848874542	2.36356727084119
0	-1.4137166941	-2.42710955973421	-2.71181406413987	-14.4025839035669	0.315528182020221	2.53495233651708
0	-1.3613568166	-1.84471073303131	-2.12664766294579	-13.8612400545907	0.455249725986282	2.66665082584947
0	-1.308996939	-1.33993840070958	-1.63909161804145	-13.1075627749931	0.587701146514328	2.77343174300922
0	-1.2566370614	-0.928976197776036	-1.26532518701362	-12.2060072032104	0.714172290350231	2.88548070712548
0	-1.2042771839	-0.627069905196353	-1.01587771222308	-11.300516896158	0.832867846840057	3.01282758448802
0	-1.1519173063	-0.472313699408663	-0.917768323844912	-10.5829458163135	0.939654813588061	3.13906746450333
0	-1.0995574288	-0.530433586850379	-1.01662604796998	-10.2810230788905	1.03151430699538	-3.04059147890129
0	-1.0471975512	-0.876279584207695	-1.37039403286477	-10.5605622472308	1.10798654552914	-2.96980062419588
0	-0.9948376736	-1.55004255579738	-2.01838331845394	-11.4543322654798	1.16925078253422	-2.92982563142085
0	-0.9424777961	-2.54827071375253	-2.97618229635016	-12.8247725796559	1.21166293746615	-2.91315650136751
0	-0.8901179185	-3.81901230775716	-4.2200714344164	-14.3637578595129	1.22138646990087	-2.91380274887656
0	-0.837758041	-5.24741780025544	-5.66654910562346	-15.6096402906349	1.17331704152725	-2.93354963279136
0	-0.7853981634	-6.58059866245917	-7.09050814995778	-16.135971338497	1.04255904374482	-2.96864686323226
0	-0.7330382858	-7.45185211203774	-8.12704719581538	-15.8686270921064	0.840216831908742	-2.98357561920337
0	-0.6806784083	-7.77447492964225	-8.65828472601104	-15.1231432700724	0.635968192534177	-2.9269140354603
0	-0.6283185307	-7.96380921690531	-9.13447342671629	-14.2295206906633	0.499369565769218	-2.77628093244972
0	-0.5759586532	-8.41821639538569	-10.1390414168671	-13.2707315409074	0.448701898129406	-2.5589580966394
0	-0.5235987756	-9.20599852327898	-12.0708935858527	-12.3667407763415	0.469391577421564	-2.33945596551845
0	-0.47123889804	-10.2971484261006	-15.4120390628212	-11.8959104369913	0.523227246599165	-2.17298237633377
0	-0.41887902048	-11.8338754747549	-21.9751424242664	-12.2760339860928	0.472012560981878	-2.08887199594105
0	-0.36651914292	-13.5854465106581	-28.0165696210504	-13.7448948594439	-1.40198190385118	-2.11397018117188
0	-0.31415926536	-13.547845305822	-17.0660389429688	-16.1034777800202	-1.84093366168306	-2.30560478142296
0	-0.2617993878	-11.2866176537834	-12.3320468411533	-17.9837485992738	-1.79155591197952	-2.69028440623143
