2
Frequency=4400(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-15.8268437848005	-16.1478436882121	-27.2991492917179	-1.19428238866808	1.47301832043219
0	-3.089232776	-14.4250702519522	-14.5751356482144	-29.1149244159626	-1.25143345977407	1.71128381055121
0	-3.0368728985	-13.6936810501045	-13.8170204346674	-29.2220301344703	-1.27459208536902	2.13313475862648
0	-2.9845130209	-13.5425995197853	-13.7498157100318	-26.8594019311914	-1.2932859576002	2.39623545333796
0	-2.9321531434	-13.8321423446442	-14.238984689975	-24.3175572312681	-1.32761690144127	2.44990633804537
0	-2.8797932658	-14.405907702778	-15.1384377274699	-22.4966145482951	-1.39116256837729	2.43772324770059
0	-2.8274333882	-15.1748197248351	-16.2973600244882	-21.5998307985126	-1.48561630919955	2.4485629951707
0	-2.7750735107	-16.2042423929276	-17.6457164005725	-21.6948375378458	-1.59345453894352	2.54195953531978
0	-2.7227136331	-17.6462056938558	-19.3436234511628	-22.5472625843764	-1.68061391785977	2.78922471586257
0	-2.6703537556	-19.3782182116943	-21.8932229499488	-22.9476592157803	-1.70613361599131	-3.04206370397839
0	-2.617993878	-20.2527682284904	-26.2888014013053	-21.4970233383224	-1.59079984682259	-2.55826919764639
0	-2.5656340004	-19.1772955004804	-33.8552040875423	-19.3277814748844	-0.845381985578201	-2.23884488855028
0	-2.5132741229	-17.4537757134679	-30.102634719247	-17.6964223389406	0.575932531949533	-2.04137326609339
0	-2.4609142453	-16.2315578633543	-25.205471101892	-16.8196796670378	0.955267104920819	-1.88849033539123
0	-2.4085543678	-15.6127254452324	-22.8663544973815	-16.5182754904122	1.18248933258492	-1.73088008038065
0	-2.3561944902	-15.2925599104666	-21.5037382316954	-16.4802353485696	1.40427933529179	-1.54148517717206
0	-2.3038346126	-14.8454150306135	-20.245224277115	-16.3231521760051	1.60771212840675	-1.31936911159749
0	-2.2514747351	-14.0548743524241	-18.8192309618534	-15.8192189747821	1.74131205134078	-1.09299860455162
0	-2.1991148575	-13.0429639360372	-17.3508413861947	-15.0555042840099	1.78366068531113	-0.894464403094665
0	-2.14675498	-12.0491721973492	-16.0276112556944	-14.2683004972615	1.75546770673698	-0.732008216724133
0	-2.0943951024	-11.2507579741741	-14.977685307403	-13.6461019035647	1.69094922216595	-0.595075764582764
0	-2.0420352248	-10.7377080250918	-14.3341281919278	-13.2316660724854	1.6160573648891	-0.469433228134747
0	-1.9896753473	-10.5536038103763	-14.2266773721757	-12.9890117959545	1.54095958281887	-0.345622741338689
0	-1.9373154697	-10.6745871590869	-14.7311117817197	-12.8424088404785	1.46027757854387	-0.22152842431288
0	-1.8849555922	-10.9915327614351	-15.8311551180281	-12.7186403444296	1.35349662950228	-0.0994534988553072
0	-1.8325957146	-11.3171479301699	-17.305872787384	-12.5772125160198	1.18416209813454	0.0181469444321984
0	-1.780235837	-11.454756946352	-18.484239855287	-12.4139680417377	0.921399312807271	0.132454956138618
0	-1.7278759595	-11.3003667319902	-18.4669536791807	-12.2263483611537	0.614763653935569	0.24866535571771
0	-1.6755160819	-10.8780035108201	-17.2951320646799	-12.0028715187975	0.377922249652084	0.372334684679869
0	-1.6231562044	-10.2838230589876	-15.7882181487315	-11.7198770029359	0.235988046576674	0.50451513453377
0	-1.5707963268	-9.61835491527659	-14.4274915944241	-11.3604289088099	0.146833390795386	0.63921090347839
0	-1.5184364492	-8.96294197486639	-13.3178824040514	-10.9479768774516	0.0762459563960865	0.766193749632853
0	-1.4660765717	-8.35595017205393	-12.4021868297009	-10.5304446407179	0.013818970181532	0.87584282870777
0	-1.4137166941	-7.81632432939694	-11.6097050198144	-10.1634041032301	-0.0318285449702968	0.962683796867718
0	-1.3613568166	-7.35495332323838	-10.9101916470729	-9.88113172462909	-0.0433471702901553	1.02615067084841
0	-1.308996939	-6.97658147492423	-10.3281239819734	-9.67050936022248	-0.00546464152158992	1.06860671885801
0	-1.2566370614	-6.68895029174345	-9.90015546450691	-9.50722945439189	0.089621177024035	1.09231619083889
0	-1.2042771839	-6.48366590704799	-9.62661165139966	-9.36525166724643	0.243244795961703	1.1007073601603
0	-1.1519173063	-6.34289864581602	-9.47306605495914	-9.23655088430403	0.454463769556369	1.09354850193506
0	-1.0995574288	-6.22969375484958	-9.35649182689408	-9.12653915622404	0.724106179980916	1.07094747190176
0	-1.0471975512	-6.05972654162171	-9.09430690301066	-9.04588108530767	1.05373522413616	1.03066838387103
0	-0.9948376736	-5.67027735090801	-8.39877883133372	-8.98193731716706	1.43037209446029	0.973042891322019
0	-0.9424777961	-4.88337158526225	-7.07113115982586	-8.9092750865936	1.81402320186949	0.90380883126944
0	-0.8901179185	-3.65433169894411	-5.23689144659615	-8.80585167547633	2.15915373355347	0.834723995467429
0	-0.837758041	-2.14509410481689	-3.22857499333007	-8.70520813068036	2.44995521243323	0.781352739881949
0	-0.7853981634	-0.577109013227398	-1.30554812539198	-8.69014945385141	2.69592928743006	0.757317861092144
0	-0.7330382858	0.892254300087537	0.408623124904043	-8.88001769983003	2.91341368846126	0.769869631031973
0	-0.6806784083	2.17195080170297	1.85754664902245	-9.38726331601121	3.11473320333126	0.820829544357059
0	-0.6283185307	3.23359328687729	3.03760553891128	-10.3195859593624	-2.9748911478001	0.91029986965639
0	-0.5759586532	4.05589472336382	3.94123223621801	-11.7849399172998	-2.7846807154342	1.04110047717828
0	-0.5235987756	4.63452892454775	4.57317745472564	-13.8957040936202	-2.59575368624755	1.22671307900729
0	-0.47123889804	4.95795798602413	4.9280965885548	-16.6837059885737	-2.40633308539516	1.50761786799996
0	-0.41887902048	5.03785092723673	5.02304868327925	-19.6441156297212	-2.21654081293449	1.96454635592433
0	-0.36651914292	4.89595468922777	4.88429787316902	-20.8219160933378	-2.02608447114607	2.57447559596082
0	-0.31415926536	4.56199982315495	4.54575224052648	-19.7160770056094	-1.83750569002483	3.02323999109398
0	-0.2617993878	4.08942564708119	4.06387405249876	-18.2270069187659	-1.65450971424027	-3.06657425385482
0	-0.20943951024	3.55413693076416	3.51506326536295	-16.9243868351699	-1.48254656950562	-3.02984265089132
0	-0.15707963268	3.05324969062207	2.99427984841219	-15.6477453235509	-1.32739836007324	-3.06001120453478
