2
Frequency=4250(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-13.0891140594663	-13.2890392121991	-26.5578619139233	0.216279697550191	-1.63302667865933
0	-3.089232776	-13.4099079965776	-13.6307197019662	-26.457468265508	0.119791373399904	-1.2934211222426
0	-3.0368728985	-14.6920155825862	-14.9088824614892	-27.8159086292757	-0.0475629870475298	-1.23706936572785
0	-2.9845130209	-15.4191132391479	-15.8195922922648	-25.9698591976364	-0.0716861208901946	-1.08100274706009
0	-2.9321531434	-14.2028093240527	-15.1538582040165	-21.2654741481183	0.00808225102810645	-1.02380985150609
0	-2.8797932658	-12.6952071549801	-14.039681107453	-18.4424347451105	0.013000274620086	-0.982840087157628
0	-2.8274333882	-12.2217413844089	-13.6286578283203	-17.8013855398266	0.0199445212288507	-0.776669315647682
0	-2.7750735107	-11.9311362844023	-13.2551221546778	-17.7353339597186	0.067302530802911	-0.49514682262497
0	-2.7227136331	-11.3188892513244	-12.209239810827	-18.6386944685091	0.00898833868592834	-0.432443602455017
0	-2.6703537556	-10.7974211546611	-11.2247604429192	-21.0794537651346	-0.173828495348487	-0.56306432155978
0	-2.617993878	-11.0792912992424	-11.3735344983304	-22.9163610581957	-0.35649899131213	-0.402044465875692
0	-2.5656340004	-12.4323564549745	-13.0021593578803	-21.5347399223498	-0.480232818755613	0.0543322293007917
0	-2.5132741229	-14.1447854795979	-15.013659483994	-21.5602569775691	-0.5332232951035	0.339803780399061
0	-2.4609142453	-15.396297275848	-15.9584968731813	-24.553302915569	-0.511069085215613	0.858560755743479
0	-2.4085543678	-15.3890872595152	-16.2271310315741	-22.9465492123518	-0.429114623504555	1.49190114101502
0	-2.3561944902	-14.7428717221713	-16.446244085423	-19.6315035713192	-0.330593561224394	1.67199090939664
0	-2.3038346126	-13.5792518801641	-16.226048205753	-16.9862829475839	-0.291580850873268	1.87924711774791
0	-2.2514747351	-12.1370294200583	-15.8497229512479	-14.5428784354938	-0.329124126440424	2.05028721835657
0	-2.1991148575	-11.3118570810854	-16.1172948502169	-13.0557576760063	-0.419587965097637	2.03500687427541
0	-2.14675498	-10.9160850605232	-16.827152068349	-12.2026060103751	-0.595374659708013	1.91864472506317
0	-2.0943951024	-10.2433136199388	-17.1542705743414	-11.232324642336	-0.837499147613386	1.84832508399743
0	-2.0420352248	-9.73936841294406	-17.7348910464194	-10.4896158670061	-1.08702530161601	1.83273489584666
0	-1.9896753473	-10.1041261598259	-19.1257291797783	-10.6853753771363	-1.43693020086762	1.8242238331768
0	-1.9373154697	-10.9283505675295	-19.5214256011325	-11.5745815364528	-1.88473570914099	1.85520909204551
0	-1.8849555922	-11.1405496165404	-18.7657293098436	-11.964315464752	-2.22385780504686	1.94574409700451
0	-1.8325957146	-10.831451926621	-17.76813247603	-11.8139086874237	-2.56084034129157	2.01248476780957
0	-1.780235837	-10.6629005209565	-15.7507999041198	-12.27372854001	-2.87174852679521	2.06476552218858
0	-1.7278759595	-10.330981704753	-13.7025834254972	-13.0077427151751	-2.99964765410858	2.1888110054177
0	-1.6755160819	-9.55382034054484	-12.3996988505904	-12.7350124268748	-3.03001935715807	2.33015073252341
0	-1.6231562044	-8.67141336790303	-11.3026445708738	-12.0970603754531	-3.07589206359059	2.42314137010231
0	-1.5707963268	-7.82382845662347	-10.0348264605031	-11.8144870546716	-3.12169055004479	2.57564052957954
0	-1.5184364492	-6.83428800999428	-8.88817575678063	-11.0729108258519	-3.10733545945165	2.76992325573951
0	-1.4660765717	-5.89295676028399	-7.96560481319596	-10.1007311921752	-3.04438865072038	2.84792960181355
0	-1.4137166941	-5.2131053394858	-7.03535003994019	-9.86419250218568	-2.97217202977497	2.85270031541545
0	-1.3613568166	-4.58920254088025	-6.05035576592955	-10.0302008299984	-2.89817154578651	2.91254613726705
0	-1.308996939	-3.81332835262632	-5.16105738955035	-9.55159761625656	-2.81651947164029	3.00324620160063
0	-1.2566370614	-3.02978648281991	-4.40598251504415	-8.69076935509672	-2.73018069016953	3.02322229857993
0	-1.2042771839	-2.39474940493419	-3.67004587043703	-8.33853671733877	-2.62852163777547	3.01447765127939
0	-1.1519173063	-1.81067105577475	-2.86300634153413	-8.48252107287961	-2.49795250141587	3.02876547511569
0	-1.0995574288	-1.18897762461061	-2.06164680024836	-8.5873550164743	-2.35314626581595	3.01935115126412
0	-1.0471975512	-0.62691009279629	-1.37137652811831	-8.65321916049442	-2.21010512813495	2.95564249545923
0	-0.9948376736	-0.0745313028204071	-0.641634804077504	-9.19621779354509	-2.05505361597992	2.8938872012065
0	-0.9424777961	0.708211989960217	0.34078423181355	-10.2003302154484	-1.87488001527723	2.85370038704064
0	-0.8901179185	1.66711241063341	1.39636773759066	-10.5198005826326	-1.6752944270176	2.80252537676593
