2
Frequency=4350(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-12.1119473145541	-12.3740395256194	-24.4356363652732	-2.0325852018768	-1.85333062984009
0	-3.089232776	-11.968443750065	-12.240023907283	-24.1423889900895	-1.99783026889004	-2.06442125729414
0	-3.0368728985	-11.7783252498195	-12.0637023621494	-23.7438842112047	-1.95472836819535	-2.46675558062873
0	-2.9845130209	-11.3767348913031	-11.8724273947119	-21.0479436251518	-1.90262048216984	-2.9130602360312
0	-2.9321531434	-10.6622092420891	-11.71141376092	-17.3454967433941	-1.84462086703154	-3.11572517485679
0	-2.8797932658	-9.77609091109097	-11.6310838038626	-14.3650447157587	-1.78495427400774	-3.12930367475941
0	-2.8274333882	-8.98420759696837	-11.6672161452128	-12.3484892588854	-1.72752966688084	-3.04563514062257
0	-2.7750735107	-8.46974774154578	-11.8185089947552	-11.166067498233	-1.67504268939674	-2.9112806347016
0	-2.7227136331	-8.31820267541818	-12.0437024728463	-10.7145974835094	-1.62932659196438	-2.75356282750809
0	-2.6703537556	-8.56451478735399	-12.2752604255969	-10.971806084658	-1.59169751609039	-2.59528979789884
0	-2.617993878	-9.2106840080002	-12.4390218869159	-12.0133713372138	-1.56260136787184	-2.46211919797085
0	-2.5656340004	-10.1740002139502	-12.5011961748757	-13.9952753867744	-1.5410751234899	-2.39622980406039
0	-2.5132741229	-11.1392339150543	-12.4774551948876	-16.9037404567679	-1.52459764349739	-2.50321661719926
0	-2.4609142453	-11.5421052757375	-12.4341652443715	-18.8544058379393	-1.50999087337663	-2.94497056855086
0	-2.4085543678	-11.0787391989537	-12.457663698798	-16.7324124387945	-1.49434628939234	2.91349718981403
0	-2.3561944902	-10.1069883393295	-12.6103612234907	-13.6913030005367	-1.47635481829177	2.83016678011164
0	-2.3038346126	-9.11234398975254	-12.9188663482639	-11.4500288313102	-1.45655208905445	2.91223941820807
0	-2.2514747351	-8.37225772706241	-13.35587828894	-10.0307391405729	-1.43824479449822	3.0503552648802
0	-2.1991148575	-8.02915041965035	-13.8725906534784	-9.33923419679798	-1.42752329608054	-3.08115548338661
0	-2.14675498	-8.17082580730065	-14.383465734115	-9.35804164135357	-1.4330180114938	-2.93152496103305
0	-2.0943951024	-8.83383485211148	-14.8198563333706	-10.0948098146183	-1.46296141388609	-2.78667603346038
0	-2.0420352248	-9.9852226655518	-15.128611966793	-11.5713618619795	-1.5213395467465	-2.64167132361386
0	-1.9896753473	-11.4687509927758	-15.2792554474309	-13.8035986533951	-1.60515235576801	-2.48858575507276
0	-1.9373154697	-12.9699979825193	-15.2618085092517	-16.841683655931	-1.70484146991752	-2.31213720817123
0	-1.8849555922	-14.0761935866505	-15.0848419399548	-20.911206653065	-1.80723584068412	-2.08403276771898
0	-1.8325957146	-14.5098354606256	-14.7710028965959	-26.8484176589381	-1.89956157517573	-1.66339421536569
0	-1.780235837	-14.2354084676005	-14.326664115114	-31.0562019986055	-1.97203238437939	-0.282768470007417
0	-1.7278759595	-13.3634901286815	-13.7767563568412	-23.7840287473417	-2.02124914963399	0.558369893654128
0	-1.6755160819	-12.0590968913896	-13.1317566654817	-18.6576165866742	-2.04965574409853	0.76728222750902
0	-1.6231562044	-10.568619199746	-12.4123521761454	-15.1787836787392	-2.06394601978849	0.846728228412781
0	-1.5707963268	-9.14237057867585	-11.6579147206218	-12.7111240455736	-2.07313650278749	0.881479550921147
0	-1.5184364492	-7.92939479523535	-10.8959653326016	-10.9838689682614	-2.08463722033262	0.895557597001841
0	-1.4660765717	-6.97463598617821	-10.1502844841488	-9.8256524914907	-2.10183523918538	0.895861764359813
0	-1.4137166941	-6.23827946649013	-9.4180086255465	-9.08551264262341	-2.1251636924809	0.880941393704262
0	-1.3613568166	-5.64126788140664	-8.68975898359818	-8.61370961364728	-2.15366999658696	0.847198661938313
0	-1.308996939	-5.10637643806466	-7.9468707600082	-8.29339239852336	-2.18518333060231	0.791093490389829
0	-1.2566370614	-4.59629100247228	-7.19028029505608	-8.06708119133708	-2.21887406267354	0.712662383211377
0	-1.2042771839	-4.11832121562478	-6.43032324838383	-7.96111992540303	-2.25536045741476	0.617691352028137
0	-1.1519173063	-3.71118256818487	-5.69091921053853	-8.07528196757239	-2.29529593925297	0.513866299075839
0	-1.0995574288	-3.41295945645092	-4.99513562094809	-8.56535203931208	-2.33910213779463	0.410031138388997
0	-1.0471975512	-3.21640481609431	-4.35589795167489	-9.58442708950145	-2.38620533467502	0.317937417491688
0	-0.9948376736	-3.06423619026307	-3.77251367357364	-11.2893718069918	-2.43422234663944	0.262008365385772
0	-0.9424777961	-2.85747946010188	-3.22876423173783	-13.7225711006675	-2.47915035057195	0.30652205840564
0	-0.8901179185	-2.50288727716497	-2.69687306757382	-16.0996630732617	-2.51680797939239	0.585311963577372
0	-0.837758041	-1.95586264736833	-2.14698921931654	-15.6157078819122	-2.54389506294783	1.04041893640695
0	-0.7853981634	-1.23556498743935	-1.55236067129589	-12.7630505658118	-2.55992411668881	1.26514215095649
0	-0.7330382858	-0.416428578546432	-0.898250983584935	-10.204085913032	-2.56752332242219	1.27533933038546
0	-0.6806784083	0.404122056690425	-0.192185516926943	-8.51376062818185	-2.57125645727631	1.19677276082831
0	-0.6283185307	1.14796573774864	0.539240136130629	-7.6864700168307	-2.57626899249824	1.08558492086981
0	-0.5759586532	1.77945767368259	1.25609615723326	-7.66942076885937	-2.58570847953143	0.967300966004142
0	-0.5235987756	2.30815224540525	1.92521390033589	-8.42846467395116	-2.60076094086076	0.860481302229612
0	-0.47123889804	2.7555359334138	2.51521419672438	-9.933983421283	-2.61966103122726	0.796050223877694
0	-0.41887902048	3.15104904116794	3.01774929296571	-12.0449801808313	-2.63989467998381	0.832954348049442
0	-0.36651914292	3.52354934094679	3.44589349529872	-13.9913223045031	-2.65881553103154	1.05661222669824
0	-0.31415926536	3.88644776423419	3.81621328198958	-14.0609614110839	-2.67379485370093	1.40765564548664
0	-0.2617993878	4.24820543688731	4.15598917672916	-12.5275891660465	-2.68315549603634	1.63488816150751
0	-0.20943951024	4.61414680405989	4.49822766911109	-11.1799756434917	-2.68700421588776	1.70969137199525
0	-0.15707963268	4.98027766145402	4.86169733221894	-10.7165941933022	-2.68642851255462	1.71651078701727
0	-0.10471975512	5.34483384170643	5.24891676329856	-11.2619201255467	-2.68312596550998	1.71822167272962
0	-0.05235987756	5.70020278107059	5.6377550961249	-12.7536633313432	-2.67827220088793	1.77342877835387
0	-4.4408920985E-16	6.04126970093239	6.00450583707544	-14.7007308851335	-2.6728821369996	1.96421666834956
0	0.05235987756	6.3399715784094	6.31122698620263	-15.4666743857073	0.475109044815393	-0.829468727733503
0	0.10471975512	6.57555968649402	6.5381062129372	-14.0860756871998	0.482946489626946	-0.550229064938121
0	0.15707963268	6.72820909508511	6.67135381551835	-12.1303226508746	0.492904513791098	-0.457502737853402
0	0.20943951024	6.79261310915979	6.71342915798521	-10.6383901368434	0.506605253008636	-0.464408643861493
0	0.2617993878	6.77695668379028	6.68090290816585	-9.82368039382195	0.522537295636969	-0.487624161205021
0	0.31415926536	6.70766204624036	6.60671993699999	-9.6798306114025	0.541060731346532	-0.476187845830807
0	0.36651914292	6.60997931844115	6.5145363509172	-10.018058542453	0.55970085705705	-0.391451623533755
0	0.41887902048	6.52505463254557	6.43504986080198	-10.3550577976202	0.576235329706987	-0.217650616287043
0	0.47123889804	6.47329020274567	6.37568575822933	-10.0585677919209	0.589333806169106	-0.00411331650233034
0	0.5235987756	6.44574515415862	6.32382878713412	-9.13229341351943	0.596841264496897	0.152399127151655
0	0.5759586532	6.41756850250256	6.2621755658434	-8.12342667096041	0.599332035163519	0.212036460567855
0	0.6283185307	6.34822939349281	6.16182384368326	-7.41789474930435	0.597144114484254	0.196612388071514
0	0.6806784083	6.20043929531541	5.99399295476866	-7.13214620399231	0.591619224307113	0.142179936390603
0	0.7330382858	5.94872342534606	5.73650543117195	-7.26697455481159	0.583847304351379	0.0822094783328086
0	0.7853981634	5.58649842330432	5.3814651777429	-7.77521513305762	0.575314823452368	0.0466458746055821
0	0.837758041	5.12948011387204	4.93837387553083	-8.53081709098178	0.567424204814965	0.0614261040481795
0	0.8901179185	4.60874601955	4.42631986903156	-9.24911994906592	0.560407769816257	0.140170209804897
0	0.9424777961	4.06801501517665	3.8746444916228	-9.54225189035039	0.554636655847648	0.263897193150932
0	0.9948376736	3.53580150390544	3.30079432759177	-9.24820410000996	0.550857534531716	0.379375460474571
0	1.0471975512	3.03947962861592	2.73216325445966	-8.61525860423161	0.548120228325622	0.446644906104212
0	1.0995574288	2.5838113625771	2.18453892722815	-7.97944531073329	0.544487066491107	0.466561418976986
0	1.1519173063	2.13835987527712	1.64431723639805	-7.54651877064023	0.539142216755265	0.460235744640941
0	1.2042771839	1.68029436728864	1.10641300746002	-7.39310897756329	0.529684110084235	0.447933868433532
0	1.2566370614	1.18045859960043	0.551509171532498	-7.52190741439839	0.51508360385699	0.439829929392986
0	1.308996939	0.627210001329154	-0.032783411995508	-7.88105550037188	0.494267695288766	0.435055469518473
0	1.3613568166	0.0245511923798778	-0.651366674686522	-8.3879292619518	0.467503940812411	0.422758115455134
0	1.4137166941	-0.615025004623581	-1.30394542922554	-8.95108520762285	0.435426781323013	0.384982017277187
0	1.4660765717	-1.27106792562788	-1.98425672527616	-9.46858146464977	0.399199060295081	0.308581042992598
0	1.5184364492	-1.92292134124349	-2.68565118346132	-9.85284198631892	0.360317323798447	0.195566293597573
0	1.5707963268	-2.56236239370888	-3.40918056474125	-10.0788351431723	0.3199244572552	0.0654325218619021
